LightPink 淺粉色
Pink 粉红色
Crimson 猩红色
LavenderBlush 淡紫色
PaleVioletRed 紫羅蘭紅色
HotPink 亮粉色
DeepPink 深粉色
MediumVioletRed 紫羅蘭紅色
Orchid 蘭花紫色
Thistle 淡紫色
plum 深紫色
Violet 紫羅蘭色
Magenta 洋红色
Fuchsia 紫红色
DarkMagenta 深洋红色
Purple 紫色
MediumOrchid 蘭花紫色
DarkVoilet 深紫羅蘭色
DarkOrchid 深蘭花紫色
Indigo 靛青色
BlueViolet 藍紫色
MediumPurple 紫色
MediumSlateBlue 藍灰色
SlateBlue 藍灰色
DarkSlateBlue 深岩暗藍灰色
Lavender 淡紫色
GhostWhite 灰白色
Blue 藍色
MediumBlue 藍色
MidnightBlue 午夜藍色
DarkBlue 深藍色
Navy 海军藍色
RoyalBlue 藍色
CornflowerBlue 藍色
LightSteelBlue 淡藍色
LightSlateGray 淺灰色
SlateGray 石板灰色
DoderBlue 道奇蓝色
AliceBlue 愛麗絲藍色
SteelBlue 藍色
LightSkyBlue 淡藍色
SkyBlue 天藍色
DeepSkyBlue 深天藍色
LightBLue 淡藍色
PowDerBlue 火焰藍色
CadetBlue 藍色
Azure 蔚藍色
LightCyan 淡青色
PaleTurquoise 綠寶石色
Cyan 青色
Aqua 水綠色
DarkTurquoise 深綠色
DarkSlateGray 深綠色
DarkCyan 深青色
Teal 青色
MediumTurquoise 綠寶石色
LightSeaGreen 淺綠色
Turquoise 綠寶石色
Auqamarin 綠寶石色
MediumAquamarine 綠寶石色
MediumSpringGreen 綠色
MintCream 奶油色
SpringGreen 綠色
SeaGreen 海洋綠色
Honeydew 蜂蜜色
LightGreen 淡綠色
PaleGreen 綠色
DarkSeaGreen 深綠色
LimeGreen 橙綠色
Lime 橘色
ForestGreen 森林綠色
Green 綠色
DarkGreen 深綠色
Chartreuse 酒綠色
LawnGreen 草綠色
GreenYellow 綠黄色
OliveDrab 土褐色
Beige 米色
LightGoldenrodYellow 淺黃色
Ivory 象牙黃色
LightYellow 淺黃色
Yellow 黃色
Olive 橄欖色
DarkKhaki 深卡其色
LemonChiffon 淺黃色
PaleGodenrod 淺黃色
Khaki 卡其色
Gold 金色
Cornislk 黃色
GoldEnrod 黃色
FloralWhite 白色
OldLace 淡黃色
Wheat 小麥色
Moccasin 奶茶色
Orange 橘色
PapayaWhip 橘色
BlanchedAlmond 淡米色
NavajoWhite 白色
AntiqueWhite 古代的白色
Tan 咖啡色
BrulyWood 咖啡色
Bisque 淡米色
DarkOrange 深橘色
Linen 亞麻色
Peru 咖啡色
PeachPuff 桃色
SandyBrown 棕色
Chocolate 巧克力色
SaddleBrown 棕色
SeaShell 米白色
Sienna 咖啡色
LightSalmon 肉色
Coral 珊瑚色
OrangeRed 橙红色
DarkSalmon 肉色
Tomato 茄紅色
MistyRose 淡粉色
Salmon 肉色
Snow 雪白色
LightCoral 淡珊瑚色
RosyBrown 玫瑰棕色
IndianRed 红色
Red 红色
Brown 棕色
FireBrick 红色
DarkRed 深红色
Maroon 栗色
White 白色
WhiteSmoke 白色
Gainsboro 淺灰色
LightGrey 淺灰色
Silver 銀色
DarkGray 深灰色
Gray 灰色
DimGray 暗灰色
Black 黑色
